"Comparison_Type","Mean_Distance","SD_Distance","Median_Distance","N"
"Between HMA-LMA",0.970329137160294,0.0583806906872521,0.986847045147662,2064
"Within HMA",0.779527396957152,0.195845866649376,0.844735684076146,552
"Within LMA",0.764558742871781,0.169717760831693,0.810151455967719,1806
