"Factor","R_squared","Percentage"
"Trait (HMA/LMA)",0.203057394826214,20.31
"Phylogeny (3 PCs)",0.273698077503638,27.37
"Geography (3 PCs)",0.0811699546177771,8.12
"Full model",0.423416414184809,42.34
"Shared/Overlap",0.13450901276282,13.45
"Unexplained",0.576583585815191,57.66
