"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"200","G14 vs G20",1,0.714505077284724,2.09823536764899,0.295599576369633,0.03,0.0509558823529412,""
"201","G14 vs G15",1,0.946961124222235,3.92457295822539,0.439749103581285,0.052,0.0760253164556962,""
"202","G14 vs G18",1,0.595134543082002,2.16960872212962,0.419685287368489,0.1,0.11608040201005,""
"203","G14 vs G05",1,0.900526048783838,5.2003839723544,0.634163472086945,0.1,0.11608040201005,""
"204","G06 vs G13",1,0.701721349629957,2.25601145829318,0.360614981819213,0.1,0.11608040201005,""
"205","G06 vs G19",1,1.16671861701049,3.4361657534509,0.209061274082701,0.007,0.0202125,"."
"206","G06 vs G21",1,0.707968544015093,2.05111508893921,0.29089230044716,0.071,0.097625,""
"207","G06 vs G20",1,0.640772833938953,1.75227472457498,0.259508802003798,0.085,0.114824561403509,""
"208","G06 vs G15",1,1.0239710280667,3.84309813483707,0.434587299183905,0.054,0.0779625,""
"209","G06 vs G18",1,0.707967477433435,2.23878659212542,0.427348309146742,0.1,0.11608040201005,""
"210","G06 vs G05",1,0.881914574685261,4.10024048839972,0.577479100193668,0.1,0.11608040201005,""
"211","G13 vs G19",1,0.903493286706026,2.49578502036382,0.161062186722646,0.01,0.0251086956521739,"."
"212","G13 vs G21",1,0.585416251145742,1.45057080375625,0.224874797577846,0.088,0.11608040201005,""
"213","G13 vs G20",1,0.552833767211699,1.30356332596523,0.206797847274045,0.111,0.126935643564356,""
"214","G13 vs G15",1,0.834277738286859,2.56813154183041,0.339334950461139,0.045,0.068841059602649,""
"215","G13 vs G18",1,0.570576469833926,1.37958894635901,0.315004207759255,0.2,0.21588785046729,""
"216","G13 vs G05",1,0.758135230430055,2.42646218964847,0.447153615900466,0.1,0.11608040201005,""
"217","G19 vs G21",1,0.580231207539525,1.56585489666684,0.100595496171697,0.048,0.0724705882352941,""
"218","G19 vs G20",1,0.657829431402233,1.74084150604643,0.110593928880977,0.033,0.054063829787234,""
"219","G19 vs G15",1,0.8513782991899,2.48622205611741,0.150806051723346,0.005,0.0162676056338028,"."
"220","G19 vs G18",1,0.54130986127831,1.47275039477632,0.109313269497469,0.106,0.121820895522388,""
"221","G19 vs G05",1,0.774900926196827,2.26403536749054,0.158723342249315,0.009,0.023625,"."
"222","G21 vs G20",1,0.368034199789326,0.848622701819796,0.123911440119822,0.718,0.721121739130435,""
"223","G21 vs G15",1,0.541452844197012,1.54265734189067,0.204524383379185,0.119,0.135413793103448,""
"224","G21 vs G18",1,0.500506276585828,1.1623552946409,0.225159879221709,0.266666666666667,0.285185185185185,""
"225","G21 vs G05",1,0.570447096012019,1.6080625830463,0.286741197915234,0.0666666666666667,0.0922155688622754,""
"226","G20 vs G15",1,0.395905968742996,1.07558214319632,0.152013236710222,0.377,0.39052466367713,""
"227","G20 vs G18",1,0.461582532435927,1.01170125442467,0.201867829518265,0.4,0.408849557522124,""
"228","G20 vs G05",1,0.628231010922729,1.65154830247327,0.292229352751088,0.0666666666666667,0.0922155688622754,""
"229","G15 vs G18",1,0.615044996138828,1.85143890380679,0.316407457079025,0.133333333333333,0.150243902439024,""
"230","G15 vs G05",1,0.671239431191295,2.61851456826537,0.395634781982756,0.0666666666666667,0.0922155688622754,""
"231","G18 vs G05",1,0.599388959781637,1.86772593835157,0.482900279937517,0.333333333333333,0.346846846846847,""
