"Order","Colour"
"Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales","#6BFF00"
"Bacteria | Proteobacteria | Alphaproteobacteria | Tistrellales","#66FF00"
"Bacteria | Proteobacteria | Alphaproteobacteria | Micavibrionales","#61FF00"
"Bacteria | Proteobacteria | Alphaproteobacteria | SAR11 clade","#5CFF00"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Opitutales","#57FF00"
"Bacteria | Cyanobacteria | Sericytochromatia | Unclassified","#52FF00"
"Bacteria | Cyanobacteria | Vampirivibrionia | Gastranaerophilales","#4DFF00"
"Bacteria | Cyanobacteria | Vampirivibrionia | Obscuribacterales","#48FF00"
"Bacteria | Cyanobacteria | Vampirivibrionia | Vampirovibrionales","#43FF00"
"Bacteria | Cyanobacteria | Unclassified | Unclassified","#3EFF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Unclassified","#39FF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Synechococcales","#34FF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Limnotrichales","#2FFF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Leptolyngbyales","#2AFF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Cyanobacteriales","#25FF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Thermosynechococcales","#20FF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Phormidesmiales","#1BFF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Pseudanabaenales","#16FF00"
"Bacteria | Cyanobacteria | Cyanobacteriia | Eurycoccales","#11FF00"
"Bacteria | Cyanobacteria | Vampirivibrionia | Caenarcaniphilales","#0CFF00"
"Bacteria | Margulisbacteria | Unclassified | Unclassified","#07FF00"
"Bacteria | WOR-1 | Unclassified | Unclassified","#02FF00"
"Bacteria | Verrucomicrobiota | Omnitrophia | Omnitrophales","#00FF03"
"Bacteria | Spirochaetota | Spirochaetia | Spirochaetales","#00FF08"
"Bacteria | Patescibacteria | Saccharimonadia | Saccharimonadales","#00FF0D"
"Bacteria | Patescibacteria | Gracilibacteria | Unclassified","#00FF12"
"Bacteria | Patescibacteria | Gracilibacteria | Absconditabacteriales (SR1)","#00FF17"
"Bacteria | Patescibacteria | ABY1 | Candidatus Jacksonbacteria","#00FF1D"
"Bacteria | Patescibacteria | ABY1 | Candidatus Kerfeldbacteria","#00FF22"
"Bacteria | Patescibacteria | Parcubacteria | GW2011-GWA2-46-7","#00FF27"
"Bacteria | Patescibacteria | WWE3 | Unclassified","#00FF2C"
"Bacteria | Patescibacteria | Microgenomatia | Candidatus Woesebacteria","#00FF31"
"Bacteria | Patescibacteria | Parcubacteria | Unclassified","#00FF36"
"Bacteria | Patescibacteria | Parcubacteria | Candidatus Campbellbacteria","#00FF3B"
"Bacteria | Patescibacteria | Parcubacteria | Candidatus Spechtbacteria","#00FF40"
"Bacteria | Patescibacteria | Parcubacteria | Candidatus Yanofskybacteria","#00FF45"
"Bacteria | Patescibacteria | Gracilibacteria | Candidatus Peribacteria","#00FF4A"
"Bacteria | Patescibacteria | Gracilibacteria | Candidatus Peregrinibacteria","#00FF4F"
"Bacteria | Patescibacteria | Gracilibacteria | JGI 0000069-P22","#00FF54"
"Archaea | Nanoarchaeota | Nanoarchaeia | Woesearchaeales","#00FF59"
"Unknown | Unclassified | Unclassified | Unclassified","#00FF5E"
"Archaea | Aenigmarchaeota | Aenigmarchaeia | Aenigmarchaeales","#00FF63"
"Archaea | Crenarchaeota | Nitrososphaeria | Nitrososphaerales","#00FF68"
"Archaea | Crenarchaeota | Nitrososphaeria | Nitrosocaldales","#00FF6D"
"Archaea | Crenarchaeota | Nitrososphaeria | Nitrosopumilales","#00FF72"
"Archaea | Crenarchaeota | Nitrososphaeria | Caldiarchaeales","#00FF77"
