"Sample","PC1","PC2","PC3","Sample.y","Clade"
"GW5831",-0.00384558402998483,-0.0442104120757439,-0.358397104765594,"GW5831","G15"
"GW5850",0.447098364329564,0.0912840910927017,-0.152098639061128,"GW5850","G12"
"GW5854",-0.273140636786503,0.227155402398538,0.00543560571285807,"GW5854","G04"
"GW5871",0.563549037659409,0.18300816630899,0.113100658452121,"GW5871","G17"
"GW5876",-0.209114967773788,0.0968715828422923,-0.00567227612969236,"GW5876","G19"
"GW5878",-0.0175286621057075,-0.0623346322866227,-0.158685385138731,"GW5878","G18"
"GW5888",-0.0280401441992589,-0.0528773865658556,-0.153917224747623,"GW5888","G19"
"GW5889",-0.052936181271225,0.0878774816836037,-0.0948147242862417,"GW5889","G07"
"GW5894",-0.0526173718457004,-0.0281569161588802,-0.116246455793088,"GW5894","G05"
"GW5907",0.00432186138010891,-0.0669776347344218,-0.247427310964938,"GW5907","G19"
"GW5910",0.0122593649493492,-0.0729798636090602,-0.265558523924752,"GW5910","G18"
"GW5915",-0.0179875944569482,-0.526459597126496,0.223216829213296,"GW5915","G21"
"GW5926",-0.0635802321902458,0.00417843055432969,-0.123892739591338,"GW5926","G08"
"GW5930",0.50833971583032,0.206730236696595,0.103962726695203,"GW5930","G20"
"GW5936",-0.217852986066331,0.142607359183522,-0.00908643589894181,"GW5936","G04"
"GW5943",-0.22059831741856,0.148898773084073,0.0211966790477622,"GW5943","G21"
"GW5967",-0.00538275096225729,-0.527741077910838,0.204365527269443,"GW5967","G17"
"GW5970",-0.260363433831949,0.17046031313573,0.023634563412894,"GW5970","G04"
"GW5973",-0.0291977995889678,-0.493393494795452,0.201690772259207,"GW5973","G12"
"GW5998",-0.161164554948073,0.0993338898749287,-0.0892457263436687,"GW5998","G04"
"GW6015",0.00758344916943632,-0.329183682569456,0.0260330465865495,"GW6015","G22"
"GW6016",0.00168627155018777,-0.469174390063595,0.162701659598483,"GW6016","G12"
"GW6018",0.163264076230961,0.26572806489617,0.175653288416378,"GW6018","G16"
"GW6026",-0.0207822439536064,-0.533222349603375,0.226394048799103,"GW6026","G12"
"GW6053",-0.138763062281854,0.029201412613168,-0.120481763759857,"GW6053","G09"
"GW6084",0.493940917432481,0.104915194336095,-0.0464146730538931,"GW6084","G17"
"GW6114",-0.11443686548969,0.0398175155149156,-0.0892882475339567,"GW6114","G07"
"GW6134",0.0119293200414726,-0.0642572558585914,-0.164865464752924,"GW6134","G07"
"GW6139",0.576869156399011,0.166400846656731,0.0568012168532295,"GW6139","G17"
"GW6141",0.013401864561784,-0.0768690108195077,-0.319269522737268,"GW6141","G14"
"GW6169",-0.239713882793202,0.176124559227527,0.0416465347795105,"GW6169","G05"
"GW6176",-0.142657277752087,0.104035693915151,-0.161266455757108,"GW6176","G20"
"GW6186",0.0490610444380537,-0.0849647158826075,-0.363474762189793,"GW6186","G20"
"GW6193",0.181497990213126,-0.065255007644532,-0.0951909015074306,"GW6193","G12"
"GW6197",-0.0260469770816464,-0.472768921531295,0.138555485887343,"GW6197","G12"
"GW6202",0.0619679607600787,-0.100684437554057,-0.36034412186849,"GW6202","G19"
